Company,Ticker,Price,Mkt Cap ($M),EV ($M),LTM Rev ($M),LTM EBITDA ($M),NTM Rev ($M),NTM EBITDA ($M),EV/Rev LTM,EV/Rev NTM,EV/EBITDA LTM,EV/EBITDA NTM,EBITDA Margin %
The Descartes Systems Group Inc.,DSGX,64.66,5559.90746128316,5282.05662370382,703.706,294.566,781.2347,358.6939,7.506055971817521,6.761164888994076,17.9316575018971,14.725805550927463,41.85924235405126
IDEX Corporation,IEX,206.18,15329.034352,16690.434352,3457.5,931.4,3569.09614,958.4586,4.8273129000723065,4.676375669723483,17.919727670173934,17.413829196169765,26.938539407086044
Computer Modelling Group Ltd.,CMDXF,,244.310251798118,255.733224231177,92.043001,24.515724,93.0407890499216,29.572223409152,2.778410324009068,2.7486140954153107,10.431395957597541,8.647750988924045,26.63507679416059
"Manhattan Associates, Inc.",MANH,135.3,8097.373244,7829.689244,1081.392,289.054,1145.79743,404.31834,7.24038021734949,6.833397456651652,27.087289032499122,19.365159750111758,26.72980750736088
WiseTech Global Limited,WTC,34.85559826,11621.1706482467,13819.31479545,1069.7,427.5,1506.4613,665.4035,12.918869585351032,9.173361967844777,32.325882562456144,20.768322973128335,39.96447602131439
"Roper Technologies, Inc.",ROP,344.24,35431.767764,44668.867763,7902.5,3133.6,8518.71356,3367.76794,5.652498293324897,5.243616591681714,14.254808451302019,13.263641841961356,39.65327428029104
Constellation Software Inc.,CNSWF,,38107.7865459078,41439.8789893669,11149.0,1927.0,12970.9822,3672.3653,3.7169144308338775,3.1948142669848782,21.504867145493982,11.284247509191665,17.28406135079379
