Company,Ticker,GAAP,Mkt Cap,Total Debt,Leases,Cash,Net Debt,TEV,LTM Rev,NTM Rev,LTM EBITDA,Lease Adj,NTM EBITDA,Lease Adj Applied,EBITDA Margin %,EV/Rev,EV/LTM EBITDA,EV/NTM EBITDA,P/BV,ND/EBITDA
Halliburton Company,NYSE:HAL,US GAAP,41116.74540803676,11402.23392,1336.842,3024.6907199999996,8377.5432,49508.77058803676,30999.389523983456,29709.244727405945,6244.873412490176,556.155654099595,6012.487508891902,True,20.145149657410748,1.5970885668484875,7.927906190863023,8.23432406550832,2.873563,1.3415072887217119
SLB N.V.,NYSE:SLB,US GAAP,104689.38014693843,17203.442639999997,1240.8636,5902.6716,11300.77104,117540.60622571112,49897.50275524708,51131.62163249353,13175.85844850523,2096.0640229884234,14191.257117639243,True,26.405847429147535,2.3556410588774583,8.92090687563859,8.282607048223529,2.940435,0.8576876477662861
Baker Hughes Company,NASDAQGS:BKR,US GAAP,87946.23470867434,9189.24624,843.2388,5093.7108,4095.5354399999997,92259.52291785613,38753.4290330253,37609.38132815629,7703.733972490119,1143.0535805363536,7816.18767408624,True,19.878844697652617,2.380680244817393,11.975948708420235,11.803647348915765,3.41926,0.5316299153923377
Precision Drilling Corporation,TSX:PD,IFRS,1530.16144968,744.238,,85.781,658.457,2193.437449,1843.704,1894.2985700000002,489.615,,492.88585,False,26.556052381510263,1.1896906710621662,4.479922896561584,4.450193587419887,0.965972,1.3448464609948634
CES Energy Solutions Corp.,TSX:CEU,IFRS,3529.51799112,498.642,,,498.642,4028.159991,2435.027,2598.5333,341.80275,37.00775,424.87620000000004,False,14.036918276470855,1.6542568074193837,11.78504266276383,9.480785205196241,4.492792,1.4588589471559255
